,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
336,Lorenzo Romar,Washington,Pac-12,17,15,0.531,,,,2002-03,254,144,0.638,6,3,,,347,232,0.599,7,3,,,Washington,Pac-12,16,15,0.516,,,,2002-03,270,159,0.629,6,3,,,363,247,0.595,7,3,,,Washington,Pac-12,19,15,0.559,,,,2002-03,289,174,0.624,6,3,,,382,262,0.593,7,3,,,Washington,Pac-12,9,22,0.29,,,,2002-03,298,196,0.603,6,3,,,391,284,0.579,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
337,Ken Bone,Washington State,Pac-12,10,21,0.323,,,,2009-10,80,86,0.482,,,,,157,135,0.538,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
338,Randy Rahe,Weber State,Big Sky,19,12,0.613,,,Lost Second Round,2006-07,169,87,0.66,2,,,,169,87,0.66,2,,,,Weber State,Big Sky,13,17,0.433,,,,2006-07,182,104,0.636,2,,,,182,104,0.636,2,,,,Weber State,Big Sky,26,9,0.743,,,Lost First Round,2006-07,208,113,0.648,3,,,,208,113,0.648,3,,,,Weber State,Big Sky,20,14,0.588,,,,2006-07,228,127,0.642,3,,,,228,127,0.642,3,,,,Weber State,Big Sky,20,11,0.645,,,,2006-07,248,138,0.642,3,,,,248,138,0.642,3,,,,N,
339,Bob Huggins,West Virginia,Big 12,17,16,0.515,,,,2007-08,150,91,0.622,5,2,1,,668,277,0.707,20,6,2,,West Virginia,Big 12,25,10,0.714,,20,Lost Regional Semifinal,2007-08,175,101,0.634,6,3,1,,693,287,0.707,21,7,2,,West Virginia,Big 12,26,9,0.743,,8,Lost First Round,2007-08,201,110,0.646,7,3,1,,719,296,0.708,22,7,2,,West Virginia,Big 12,28,9,0.757,20,13,Lost Regional Semifinal,2007-08,229,119,0.658,8,4,1,,747,305,0.71,23,8,2,,West Virginia,Big 12,26,11,0.703,11,15,Lost Regional Semifinal,2007-08,255,130,0.662,9,5,1,,773,316,0.71,24,9,2,,N,
340,Larry Hunter,Western Carolina,Southern,19,15,0.559,,,,2005-06,140,152,0.479,,,,,344,300,0.534,1,,,,Western Carolina,Southern,15,17,0.469,,,,2005-06,155,169,0.478,,,,,359,317,0.531,1,,,,Western Carolina,Southern,16,18,0.471,,,,2005-06,171,187,0.478,,,,,375,335,0.528,1,,,,Western Carolina,Southern,9,23,0.281,,,,2005-06,180,210,0.462,,,,,384,358,0.518,1,,,,Western Carolina,Southern,13,19,0.406,,,,2005-06,193,229,0.457,,,,,397,377,0.513,1,,,,N,
341,Jim Molinari,Western Illinois,Summit,10,20,0.333,,,,2008-09,79,104,0.432,,,,,302,290,0.51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
342,Ray Harper,Western Kentucky,Sun Belt,20,12,0.625,,,,2011-12,51,36,0.586,2,,,,51,36,0.586,2,,,,Western Kentucky,CUSA,20,12,0.625,,,,2011-12,71,48,0.597,2,,,,71,48,0.597,2,,,,Western Kentucky,CUSA,18,16,0.529,,,,2011-12,89,64,0.582,2,,,,89,64,0.582,2,,,,Jacksonville State,OVC,20,15,0.571,,,Lost First Round,2016-17,20,15,0.571,1,,,,109,79,0.58,3,,,,Jacksonville State,OVC,23,13,0.639,,,,2016-17,43,28,0.606,1,,,,132,92,0.589,3,,,,N,
343,Steve Hawkins,Western Michigan,MAC,23,10,0.697,,,Lost Second Round,2003-04,204,155,0.568,2,,,,204,155,0.568,2,,,,Western Michigan,MAC,20,14,0.588,,,,2003-04,224,169,0.57,2,,,,224,169,0.57,2,,,,Western Michigan,MAC,13,19,0.406,,,,2003-04,237,188,0.558,2,,,,237,188,0.558,2,,,,Western Michigan,MAC,16,16,0.5,,,,2003-04,253,204,0.554,2,,,,253,204,0.554,2,,,,Western Michigan,MAC,17,15,0.531,,,,2003-04,270,219,0.552,2,,,,270,219,0.552,2,,,,N,
344,Gregg Marshall,Wichita State,MVC,35,1,0.972,16,2,Lost Third Round,2007-08,174,71,0.71,3,1,1,,368,154,0.705,10,1,1,,Wichita State,MVC,30,5,0.857,11,14,Lost Regional Semifinal,2007-08,204,76,0.729,4,2,1,,398,159,0.715,11,2,1,,Wichita State,MVC,26,9,0.743,10,,Lost Second Round,2007-08,230,85,0.73,5,2,1,,424,168,0.716,12,2,1,,Wichita State,MVC,31,5,0.861,,19,Lost Second Round,2007-08,261,90,0.744,6,2,1,,455,173,0.725,13,2,1,,Wichita State,AAC,25,8,0.758,7,16,Lost First Round,2007-08,286,98,0.745,7,2,1,,480,181,0.726,14,2,1,,N,
345,Tony Shaver,William & Mary,CAA,20,12,0.625,,,,2003-04,136,201,0.404,,,,,136,201,0.404,,,,,William & Mary,CAA,20,13,0.606,,,,2003-04,156,214,0.422,,,,,156,214,0.422,,,,,William & Mary,CAA,20,11,0.645,,,,2003-04,176,225,0.439,,,,,176,225,0.439,,,,,William & Mary,CAA,17,14,0.548,,,,2003-04,193,239,0.447,,,,,193,239,0.447,,,,,William & Mary,CAA,19,12,0.613,,,,2003-04,212,251,0.458,,,,,212,251,0.458,,,,,N,
346,Pat Kelsey,Winthrop,Big South,20,13,0.606,,,,2012-13,34,30,0.531,,,,,34,30,0.531,,,,,Winthrop,Big South,19,13,0.594,,,,2012-13,53,43,0.552,,,,,53,43,0.552,,,,,Winthrop,Big South,23,9,0.719,,,,2012-13,76,52,0.594,,,,,76,52,0.594,,,,,Winthrop,Big South,26,7,0.788,,,Lost First Round,2012-13,102,59,0.634,1,,,,102,59,0.634,1,,,,Winthrop,Big South,19,12,0.613,,,,2012-13,121,71,0.63,1,,,,121,71,0.63,1,,,,N,
347,Bo Ryan,Wisconsin,Big Ten,30,8,0.789,20,12,Lost National Semifinal,2001-02,321,121,0.726,13,6,1,,351,148,0.703,13,6,1,,Wisconsin,Big Ten,36,4,0.9,3,3,Lost National Final,2001-02,357,125,0.741,14,7,2,,387,152,0.718,14,7,2,,Wisconsin,Big Ten,7,5,0.583,17,,Lost Regional Semifinal,2001-02,364,130,0.737,15,8,2,,394,157,0.715,15,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
348,Mike Young,Wofford,Southern,20,13,0.606,,,Lost Second Round,2002-03,189,185,0.505,3,,,,189,185,0.505,3,,,,Wofford,Southern,28,7,0.8,,,Lost Second Round,2002-03,217,192,0.531,4,,,,217,192,0.531,4,,,,Wofford,Southern,15,17,0.469,,,,2002-03,232,209,0.526,4,,,,232,209,0.526,4,,,,Wofford,Southern,16,17,0.485,,,,2002-03,248,226,0.523,4,,,,248,226,0.523,4,,,,Wofford,Southern,21,13,0.618,,,,2002-03,269,239,0.53,4,,,,269,239,0.53,4,,,,N,
349,Billy Donlon,Wright State,Horizon,21,15,0.583,,,,2010-11,76,61,0.555,,,,,76,61,0.555,,,,,Wright State,Horizon,11,20,0.355,,,,2010-11,87,81,0.518,,,,,87,81,0.518,,,,,Wright State,Horizon,22,13,0.629,,,,2010-11,109,94,0.537,,,,,109,94,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
350,Larry Shyatt,Wyoming,MWC,18,15,0.545,,,,1997-98,78,50,0.609,,,,,148,134,0.525,,,,,Wyoming,MWC,25,10,0.714,,,Lost Second Round,1997-98,103,60,0.632,1,,,,173,144,0.546,1,,,,Wyoming,MWC,14,18,0.438,,,,1997-98,117,78,0.6,1,,,,187,162,0.536,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
351,Chris Mack,Xavier,Big East,21,13,0.618,,,,2009-10,111,57,0.661,4,2,,,111,57,0.661,4,2,,,Xavier,Big East,23,14,0.622,,,Lost Regional Semifinal,2009-10,134,71,0.654,5,3,,,134,71,0.654,5,3,,,Xavier,Big East,28,6,0.824,,9,Lost Second Round,2009-10,162,77,0.678,6,3,,,162,77,0.678,6,3,,,Xavier,Big East,24,14,0.632,7,,Lost Regional Final,2009-10,186,91,0.671,7,4,,,186,91,0.671,7,4,,,Xavier,Big East,29,6,0.829,17,3,Lost Second Round,2009-10,215,97,0.689,8,4,,,215,97,0.689,8,4,,,N,
352,James Jones,Yale,Ivy,19,14,0.576,,,,1999-00,209,222,0.485,,,,,209,222,0.485,,,,,Yale,Ivy,22,10,0.688,,,,1999-00,231,232,0.499,,,,,231,232,0.499,,,,,Yale,Ivy,23,7,0.767,,,Lost Second Round,1999-00,254,239,0.515,1,,,,254,239,0.515,1,,,,Yale,Ivy,18,11,0.621,,,,1999-00,272,250,0.521,1,,,,272,250,0.521,1,,,,Yale,Ivy,16,15,0.516,,,,1999-00,288,265,0.521,1,,,,288,265,0.521,1,,,,N,
353,Jerry Slocum,Youngstown State,Horizon,15,17,0.469,,,,2005-06,107,169,0.388,,,,,107,169,0.388,,,,,Youngstown State,Horizon,11,21,0.344,,,,2005-06,118,190,0.383,,,,,118,190,0.383,,,,,Youngstown State,Horizon,11,21,0.344,,,,2005-06,129,211,0.379,,,,,129,211,0.379,,,,,Youngstown State,Horizon,13,21,0.382,,,,2005-06,142,232,0.38,,,,,142,232,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
354,John Brannen,,,,,,,,,,,,,,,,,,,,,,,,Alabama,SEC,1,1,0.5,,,,2014-15,1,1,0.5,,,,,1,1,0.5,,,,,Northern Kentucky,Horizon,9,21,0.3,,,,2015-16,9,21,0.3,,,,,10,22,0.312,,,,,Northern Kentucky,Horizon,24,11,0.686,,,Lost First Round,2015-16,33,32,0.508,1,,,,34,33,0.507,1,,,,Northern Kentucky,Horizon,22,10,0.688,,,,2015-16,55,42,0.567,1,,,,56,43,0.566,1,,,,N,
355,Jim Fox,,,,,,,,,,,,,,,,,,,,,,,,Appalachian State,Sun Belt,12,17,0.414,,,,2014-15,12,17,0.414,,,,,12,17,0.414,,,,,Appalachian State,Sun Belt,9,22,0.29,,,,2014-15,21,39,0.35,,,,,21,39,0.35,,,,,Appalachian State,Sun Belt,9,21,0.3,,,,2014-15,30,60,0.333,,,,,30,60,0.333,,,,,Appalachian State,Sun Belt,15,18,0.455,,,,2014-15,45,78,0.366,,,,,45,78,0.366,,,,,N,
356,Bruce Pearl,,,,,,,,,,,,,,,,,,,,,,,,Auburn,SEC,15,20,0.429,,,,2014-15,15,20,0.429,,,,,246,119,0.674,8,4,,,Auburn,SEC,11,20,0.355,,,,2014-15,26,40,0.394,,,,,257,139,0.649,8,4,,,Auburn,SEC,18,14,0.562,,,,2014-15,44,54,0.449,,,,,275,153,0.643,8,4,,,Auburn,SEC,26,8,0.765,,19,Lost Second Round,2014-15,70,62,0.53,1,,,,301,161,0.652,9,4,,,N,
357,Chris Jans,,,,,,,,,,,,,,,,,,,,,,,,Bowling Green State,MAC,21,12,0.636,,,,2014-15,21,12,0.636,,,,,21,12,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Mexico State,WAC,28,6,0.824,,,Lost First Round,2017-18,28,6,0.824,1,,,,49,18,0.731,1,,,,Y,2015
358,Chris Holtmann,,,,,,,,,,,,,,,,,,,,,,,,Butler,Big East,23,11,0.676,,24,Lost Third Round,2014-15,23,11,0.676,1,,,,67,65,0.508,1,,,,Butler,Big East,22,11,0.667,24,,Lost Second Round,2014-15,45,22,0.672,2,,,,89,76,0.539,2,,,,Butler,Big East,25,9,0.735,,21,Lost Regional Semifinal,2014-15,70,31,0.693,3,1,,,114,85,0.573,3,1,,,Ohio State,Big Ten,25,9,0.735,,17,Lost Second Round,2017-18,25,9,0.735,1,,,,139,94,0.597,4,1,,,N,
359,Russ Pennell,,,,,,,,,,,,,,,,,,,,,,,,Central Arkansas,Southland,2,27,0.069,,,,2014-15,2,27,0.069,,,,,23,41,0.359,1,1,,,Central Arkansas,Southland,7,21,0.25,,,,2014-15,9,48,0.158,,,,,30,62,0.326,1,1,,,Central Arkansas,Southland,8,24,0.25,,,,2014-15,17,72,0.191,,,,,38,86,0.306,1,1,,,Central Arkansas,Southland,18,17,0.514,,,,2014-15,35,89,0.282,,,,,56,103,0.352,1,1,,,N,
360,Ryan Odom,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,CUSA,8,11,0.421,,,,2014-15,8,11,0.421,,,,,8,11,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMBC,AEC,21,13,0.618,,,,2016-17,21,13,0.618,,,,,29,24,0.547,,,,,UMBC,AEC,25,11,0.694,,,Lost Second Round,2016-17,46,24,0.657,1,,,,54,35,0.607,1,,,,N,
361,Earl Grant,,,,,,,,,,,,,,,,,,,,,,,,College of Charleston,CAA,9,24,0.273,,,,2014-15,9,24,0.273,,,,,9,24,0.273,,,,,College of Charleston,CAA,17,14,0.548,,,,2014-15,26,38,0.406,,,,,26,38,0.406,,,,,College of Charleston,CAA,25,10,0.714,,,,2014-15,51,48,0.515,,,,,51,48,0.515,,,,,College of Charleston,CAA,26,8,0.765,,,Lost First Round,2014-15,77,56,0.579,1,,,,77,56,0.579,1,,,,N,
362,Michael Grant,,,,,,,,,,,,,,,,,,,,,,,,Coppin State,MEAC,8,23,0.258,,,,2014-15,8,23,0.258,,,,,34,54,0.386,,,,,Coppin State,MEAC,9,22,0.29,,,,2014-15,17,45,0.274,,,,,43,76,0.361,,,,,Coppin State,MEAC,8,24,0.25,,,,2014-15,25,69,0.266,,,,,51,100,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
363,Byron Samuels,,,,,,,,,,,,,,,,,,,,,,,,Florida A&M,MEAC,2,27,0.069,,,,2014-15,2,27,0.069,,,,,77,150,0.339,,,,,Florida A&M,MEAC,8,21,0.276,,,,2014-15,10,48,0.172,,,,,85,171,0.332,,,,,Florida A&M,MEAC,7,23,0.233,,,,2014-15,17,71,0.193,,,,,92,194,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
364,Michael Curry,,,,,,,,,,,,,,,,,,,,,,,,Florida Atlantic,CUSA,9,20,0.31,,,,2014-15,9,20,0.31,,,,,9,20,0.31,,,,,Florida Atlantic,CUSA,8,25,0.242,,,,2014-15,17,45,0.274,,,,,17,45,0.274,,,,,Florida Atlantic,CUSA,10,20,0.333,,,,2014-15,27,65,0.293,,,,,27,65,0.293,,,,,Florida Atlantic,CUSA,12,19,0.387,,,,2014-15,39,84,0.317,,,,,39,84,0.317,,,,,N,
365,Shawn Walker,,,,,,,,,,,,,,,,,,,,,,,,Grambling,SWAC,2,27,0.069,,,,2014-15,2,27,0.069,,,,,2,27,0.069,,,,,Grambling,SWAC,7,24,0.226,,,,2014-15,9,51,0.15,,,,,9,51,0.15,,,,,Grambling,SWAC,16,17,0.485,,,,2014-15,25,68,0.269,,,,,25,68,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
366,Benjy Taylor,,,,,,,,,,,,,,,,,,,,,,,,Hawaii,Big West,22,13,0.629,,,,2014-15,22,13,0.629,,,,,61,66,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
367,Kelvin Sampson,,,,,,,,,,,,,,,,,,,,,,,,Houston,AAC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,438,246,0.64,14,3,1,,Houston,AAC,22,10,0.688,,,,2014-15,35,29,0.547,,,,,460,256,0.642,14,3,1,,Houston,AAC,21,11,0.656,,,,2014-15,56,40,0.583,,,,,481,267,0.643,14,3,1,,Houston,AAC,27,8,0.771,,21,Lost Second Round,2014-15,83,48,0.634,1,,,,508,275,0.649,15,3,1,,N,
368,Jon Coffman,,,,,,,,,,,,,,,,,,,,,,,,Fort Wayne,Summit,16,15,0.516,,,,2014-15,16,15,0.516,,,,,16,15,0.516,,,,,Fort Wayne,Summit,24,10,0.706,,,,2014-15,40,25,0.615,,,,,40,25,0.615,,,,,Fort Wayne,Summit,20,13,0.606,,,,2014-15,60,38,0.612,,,,,60,38,0.612,,,,,Fort Wayne,Summit,18,15,0.545,,,,2014-15,78,53,0.595,,,,,78,53,0.595,,,,,N,
369,Jason Gardner,,,,,,,,,,,,,,,,,,,,,,,,IUPUI,Summit,10,21,0.323,,,,2014-15,10,21,0.323,,,,,10,21,0.323,,,,,IUPUI,Summit,13,19,0.406,,,,2014-15,23,40,0.365,,,,,23,40,0.365,,,,,IUPUI,Summit,14,18,0.438,,,,2014-15,37,58,0.389,,,,,37,58,0.389,,,,,IUPUI,Horizon,11,19,0.367,,,,2014-15,48,77,0.384,,,,,48,77,0.384,,,,,N,
370,Jimmy Lallathin,,,,,,,,,,,,,,,,,,,,,,,,Kennesaw State,A-Sun,10,22,0.312,,,,2014-15,10,22,0.312,,,,,10,22,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
371,Mike Dunlap,,,,,,,,,,,,,,,,,,,,,,,,Loyola Marymount,WCC,8,23,0.258,,,,2014-15,8,23,0.258,,,,,8,23,0.258,,,,,Loyola Marymount,WCC,14,17,0.452,,,,2014-15,22,40,0.355,,,,,22,40,0.355,,,,,Loyola Marymount,WCC,15,15,0.5,,,,2014-15,37,55,0.402,,,,,37,55,0.402,,,,,Loyola Marymount,WCC,11,20,0.355,,,,2014-15,48,75,0.39,,,,,48,75,0.39,,,,,N,
372,Bob Walsh,,,,,,,,,,,,,,,,,,,,,,,,Maine,AEC,3,27,0.1,,,,2014-15,3,27,0.1,,,,,3,27,0.1,,,,,Maine,AEC,8,22,0.267,,,,2014-15,11,49,0.183,,,,,11,49,0.183,,,,,Maine,AEC,7,25,0.219,,,,2014-15,18,74,0.196,,,,,18,74,0.196,,,,,Maine,AEC,6,26,0.188,,,,2014-15,24,100,0.194,,,,,24,100,0.194,,,,,N,
373,Mike Maker,,,,,,,,,,,,,,,,,,,,,,,,Marist,MAAC,7,25,0.219,,,,2014-15,7,25,0.219,,,,,7,25,0.219,,,,,Marist,MAAC,7,23,0.233,,,,2014-15,14,48,0.226,,,,,14,48,0.226,,,,,Marist,MAAC,8,24,0.25,,,,2014-15,22,72,0.234,,,,,22,72,0.234,,,,,Marist,MAAC,6,25,0.194,,,,2014-15,28,97,0.224,,,,,28,97,0.224,,,,,N,
374,Steve Wojciechowski,,,,,,,,,,,,,,,,,,,,,,,,Marquette,Big East,13,19,0.406,,,,2014-15,13,19,0.406,,,,,13,19,0.406,,,,,Marquette,Big East,20,13,0.606,,,,2014-15,33,32,0.508,,,,,33,32,0.508,,,,,Marquette,Big East,19,13,0.594,,,Lost First Round,2014-15,52,45,0.536,1,,,,52,45,0.536,1,,,,Marquette,Big East,21,14,0.6,,,,2014-15,73,59,0.553,1,,,,73,59,0.553,1,,,,N,
375,Dan D'Antoni,,,,,,,,,,,,,,,,,,,,,,,,Marshall,CUSA,11,21,0.344,,,,2014-15,11,21,0.344,,,,,11,21,0.344,,,,,Marshall,CUSA,17,16,0.515,,,,2014-15,28,37,0.431,,,,,28,37,0.431,,,,,Marshall,CUSA,20,15,0.571,,,,2014-15,48,52,0.48,,,,,48,52,0.48,,,,,Marshall,CUSA,25,11,0.694,,,Lost Second Round,2014-15,73,63,0.537,1,,,,73,63,0.537,1,,,,N,
376,Bobby Collins,,,,,,,,,,,,,,,,,,,,,,,,Maryland-Eastern Shore,MEAC,18,15,0.545,,,,2014-15,18,15,0.545,,,,,120,153,0.44,1,,,,Maryland-Eastern Shore,MEAC,10,22,0.312,,,,2014-15,28,37,0.431,,,,,130,175,0.426,1,,,,Maryland-Eastern Shore,MEAC,14,20,0.412,,,,2014-15,42,57,0.424,,,,,144,195,0.425,1,,,,Maryland-Eastern Shore,MEAC,7,25,0.219,,,,2014-15,49,82,0.374,,,,,151,220,0.407,1,,,,N,
377,Andre Payne,,,,,,,,,,,,,,,,,,,,,,,,Mississippi Valley State,SWAC,6,26,0.188,,,,2014-15,6,26,0.188,,,,,6,26,0.188,,,,,Mississippi Valley State,SWAC,8,27,0.229,,,,2014-15,14,53,0.209,,,,,14,53,0.209,,,,,Mississippi Valley State,SWAC,7,25,0.219,,,,2014-15,21,78,0.212,,,,,21,78,0.212,,,,,Mississippi Valley State,SWAC,4,28,0.125,,,,2014-15,25,106,0.191,,,,,25,106,0.191,,,,,N,
378,Kim Anderson,,,,,,,,,,,,,,,,,,,,,,,,Missouri,SEC,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,,Missouri,SEC,10,21,0.323,,,,2014-15,19,44,0.302,,,,,19,44,0.302,,,,,Missouri,SEC,8,24,0.25,,,,2014-15,27,68,0.284,,,,,27,68,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
379,Travis DeCuire,,,,,,,,,,,,,,,,,,,,,,,,Montana,Big Sky,20,13,0.606,,,,2014-15,20,13,0.606,,,,,20,13,0.606,,,,,Montana,Big Sky,21,12,0.636,,,,2014-15,41,25,0.621,,,,,41,25,0.621,,,,,Montana,Big Sky,16,16,0.5,,,,2014-15,57,41,0.582,,,,,57,41,0.582,,,,,Montana,Big Sky,26,8,0.765,,,Lost First Round,2014-15,83,49,0.629,1,,,,83,49,0.629,1,,,,N,
380,Brian Fish,,,,,,,,,,,,,,,,,,,,,,,,Montana State,Big Sky,7,23,0.233,,,,2014-15,7,23,0.233,,,,,7,23,0.233,,,,,Montana State,Big Sky,14,17,0.452,,,,2014-15,21,40,0.344,,,,,21,40,0.344,,,,,Montana State,Big Sky,16,16,0.5,,,,2014-15,37,56,0.398,,,,,37,56,0.398,,,,,Montana State,Big Sky,13,19,0.406,,,,2014-15,50,75,0.4,,,,,50,75,0.4,,,,,N,
381,Kevin Keatts,,,,,,,,,,,,,,,,,,,,,,,,UNC Wilmington,CAA,18,14,0.562,,,,2014-15,18,14,0.562,,,,,18,14,0.562,,,,,UNC Wilmington,CAA,25,8,0.758,,,Lost First Round,2014-15,43,22,0.662,1,,,,43,22,0.662,1,,,,UNC Wilmington,CAA,29,6,0.829,,,Lost First Round,2014-15,72,28,0.72,2,,,,72,28,0.72,2,,,,NC State,ACC,21,12,0.636,,,Lost First Round,2017-18,21,12,0.636,1,,,,93,40,0.699,3,,,,Y,2017
382,David Richman,,,,,,,,,,,,,,,,,,,,,,,,North Dakota State,Summit,23,10,0.697,,,Lost Second Round,2014-15,23,10,0.697,1,,,,23,10,0.697,1,,,,North Dakota State,Summit,20,13,0.606,,,,2014-15,43,23,0.652,1,,,,43,23,0.652,1,,,,North Dakota State,Summit,19,11,0.633,,,,2014-15,62,34,0.646,1,,,,62,34,0.646,1,,,,North Dakota State,Summit,15,17,0.469,,,,2014-15,77,51,0.602,1,,,,77,51,0.602,1,,,,N,
383,Mike Rhoades,,,,,,,,,,,,,,,,,,,,,,,,Rice,CUSA,12,20,0.375,,,,2014-15,12,20,0.375,,,,,12,20,0.375,,,,,Rice,CUSA,12,20,0.375,,,,2014-15,24,40,0.375,,,,,24,40,0.375,,,,,Rice,CUSA,23,12,0.657,,,,2014-15,47,52,0.475,,,,,47,52,0.475,,,,,VCU,A-10,18,15,0.545,,,,2017-18,18,15,0.545,,,,,65,67,0.492,,,,,N,
384,Scott Padgett,,,,,,,,,,,,,,,,,,,,,,,,Samford,Southern,13,19,0.406,,,,2014-15,13,19,0.406,,,,,13,19,0.406,,,,,Samford,Southern,14,19,0.424,,,,2014-15,27,38,0.415,,,,,27,38,0.415,,,,,Samford,Southern,20,16,0.556,,,,2014-15,47,54,0.465,,,,,47,54,0.465,,,,,Samford,Southern,10,22,0.312,,,,2014-15,57,76,0.429,,,,,57,76,0.429,,,,,N,
385,Craig Smith,,,,,,,,,,,,,,,,,,,,,,,,South Dakota,Summit,17,16,0.515,,,,2014-15,17,16,0.515,,,,,17,16,0.515,,,,,South Dakota,Summit,14,18,0.438,,,,2014-15,31,34,0.477,,,,,31,34,0.477,,,,,South Dakota,Summit,22,12,0.647,,,,2014-15,53,46,0.535,,,,,53,46,0.535,,,,,South Dakota,Summit,26,9,0.743,,,,2014-15,79,55,0.59,,,,,79,55,0.59,,,,,N,
386,Orlando Antigua,,,,,,,,,,,,,,,,,,,,,,,,South Florida,AAC,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,,South Florida,AAC,8,25,0.242,,,,2014-15,17,48,0.262,,,,,17,48,0.262,,,,,South Florida,AAC,6,7,0.462,,,,2014-15,23,55,0.295,,,,,23,55,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
387,Jay Ladner,,,,,,,,,,,,,,,,,,,,,,,,Southeastern Louisiana,Southland,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,,Southeastern Louisiana,Southland,12,21,0.364,,,,2014-15,21,44,0.323,,,,,21,44,0.323,,,,,Southeastern Louisiana,Southland,16,16,0.5,,,,2014-15,37,60,0.381,,,,,37,60,0.381,,,,,Southeastern Louisiana,Southland,22,12,0.647,,,,2014-15,59,72,0.45,,,,,59,72,0.45,,,,,N,
